DID,Start,End,Size,R/W,Name,Type,Units,Scale Factor,Contents,Description
64110,79,98,20,R/W,OutBack_SMTP_Email_User_Name,string (40),N/A,N/A,Programmable,Email account User Name
64110,99,99,1,R/W,OutBack_Status_Email_Interval,uint16,N/A,N/A,Programmable,"0 = Status Email Disabled, 1-23 Status Email every n hours"
64110,100,100,1,R/W,OutBack_Status_Email_Status_Time,uint16,N/A,N/A,Programmable,Hour of first status email of the day
64110,101,125,25,R/W,OutBack_Status_Email_Subject_Line,string (50),N/A,N/A,Programmable,Status Email Subject Line
64110,126,145,20,R/W,OutBack_Status_Email_To_Address_1,string (40),N/A,N/A,Programmable,Status Email to Address 1
64110,146,165,20,R/W,OutBack_Status_Email_To_Address_2,string (40),N/A,N/A,Programmable,Status Email to Address 2
64110,166,166,1,R/W,OutBack_Alarm_Email_Enable,uint16,Enumerated,N/A,Programmable,0 = Disabled; 1 = Enabled
64110,167,191,25,R/W,OutBack_Alarm_Email_Subject_Line,string (50),N/A,N/A,Programmable,Status Alarm_Subject Line
64110,192,211,20,R/W,OutBack_Alarm_Email_To_Address_1,string (40),N/A,N/A,Programmable,Status Alarm to Address 1
64110,212,231,20,R/W,OutBack_Alarm_Email_To_Address_2,string (40),N/A,N/A,Programmable,Status Alarm to Address 2
64110,232,239,8,W,OutBack_FTP_Password,string (16),N/A,N/A,Write Only,FTP password
64110,240,247,8,W,OutBack_Telnet_Password,string (16),N/A,N/A,Write Only,Telnet password (not implemented)
64110,248,248,1,R/W,OutBack_SD_Card_Data_Log_Write_Interval,uint16,N/A,N/A,Programmable,"0 = SD-Card Data Logging disabled, 1-60 seconds"
64110,249,249,1,R/W,OutBack_SD_Card_Data_Log_Retain_Days,uint16,N/A,N/A,Programmable,"0 = Log until SD-Card is full then erase oldest, 1-731 Number of days to retain data logs"
64110,250,250,1,R/W,OutBack_SD_Card_Data_Logging_Mode,uint16,Enumerated,N/A,Programmable,"0 = Disabled; 1 = Excel Format; 
2 = Compact Format"
64110,251,270,20,R/W ,OutBack_Time_Server_Name,string (40),N/A,N/A,Programmable,Timeserver domain name
64110,271,271,1,R/W ,OutBack_Enable_Time_Server,uint16,Enumerated,N/A,Programmable,"0 = Time Server Disabled, use configured time parameters; 1 = Time Server Enabled"
64110,272,272,1,R/W ,OutBack_Set_Time_Zone,int16,Hours,N/A,Programmable,Time Zone -12-11
64110,273,273,1,R/W,OutBack_Enable_Float_Coordination,uint16,N/A,N/A,Programmable,"0=Disabled, 1=Enabled"
64110,274,274,1,R/W,OutBack_Enable_FNDC_Charge_Termination,uint16,N/A,N/A,Programmable,"0=Disabled, 1=Enabled"
64110,275,275,1,R/W,OutBack_Enable_FNDC_Grid_Tie_Control,uint16,N/A,N/A,Programmable,"0=Disabled, 1=Enabled"
64110,276,276,1,R,OutBack_Voltage_SF,int16,N/A,N/A,-1,DC Voltage Scale Factor
64110,277,277,1,R,OutBack_Hour_SF,int16,N/A,N/A,-1,Hours Scale Factor
64110,278,278,1,R/W ,OutBack_AGS_Mode,uint16,Enumerated,N/A,Programmable,"0=Disabled, 1=Enabled"
64110,279,279,1,R/W ,OutBack_AGS_Port,uint16,N/A,N/A,Programmable,AGS device port number 0-10
64110,280,280,1,R/W ,OutBack_AGS_Port_Type,uint16,Enumerated,N/A,Programmable,"0=Radian AUX Relay, 1=Radian AUX Output"
64110,281,281,1,R/W ,OutBack_AGS_Generator_Type,uint16,Enumerated,N/A,Programmable,"0=AC Gen, 1=DC Gen, 2=No Gen"
64110,282,282,1,R/W,OutBack_AGS_DC_Gen_Absorb_Voltage,uint16,Volts,OutBack_Voltage_SF,Programmable,DC Generator Absorb Voltage
64110,283,283,1,R/W,OutBack_AGS_DC_Gen_Absorb_Time,uint16,Hour,OutBack_Hour_SF,Programmable,DC Generator Absorb Time
64110,284,284,1,R/W ,OutBack_AGS_Fault_Time,uint16,Minutes,N/A,Programmable,AGS Generator fault time delay
64110,285,285,1,R/W,OutBack_AGS_Gen_Cool_Down_Time,uint16,Minutes,N/A,Programmable,AGS Generator Cool Down Time
64110,286,286,1,R/W,OutBack_AGS_Gen_Warm_Up_Time,uint16,Minutes,N/A,Programmable,AGS Generator Warm Up Time
64110,287,287,1,R/W,OutBack_AGS_Generator_Exercise_Mode,uint16,Enumerated,N/A,Programmable,"0=Disabled, 1=Enabled"
64110,288,288,1,R/W,OutBack_AGS_Exercise_Start_Hour,uint16,Hour,N/A,Programmable,Exercise Start Hour 0-23
64110,289,289,1,R/W,OutBack_AGS_Exercise_Start_Minute,uint16,Minutes,N/A,Programmable,Exercise Start Minute 0-59
64110,290,290,1,R/W ,OutBack_AGS_Exercise_Day,uint16,Enumerated,N/A,Programmable,"0=Sun, 1=Mon, 2=Tue, 3=Wed, 4=Thr, 5=Fri, 6=Sat"
64110,291,291,1,R/W ,OutBack_AGS_Exercise_Period,uint16,Minutes,N/A,Programmable,Exercise Period 1-240 minutes
64110,292,292,1,R/W,OutBack_AGS_Exercise_Interval,uint16,Weeks,N/A,Programmable,Exercise interval 1-8 Weeks
64110,293,293,1,R/W ,OutBack_AGS_Sell_Mode,uint16,Enumerated,N/A,Programmable,"Sell During Generator Exercise Period, 0=Selling Enabled, 1=Selling Disabled"
64110,294,294,1,R/W,OutBack_AGS_2_Min_Start_Mode,uint16,Enumerated,N/A,Programmable,"0=Disabled, 1=Enabled"
64110,295,295,1,R/W,OutBack_AGS_2_Min_Start_Voltage,uint16,Volts,OutBack_Voltage_SF,Programmable,Two Minute AGS Start Voltage
64110,296,296,1,R/W,OutBack_AGS_2_Hour_Start_Mode,uint16,Enumerated,N/A,Programmable,"0=Disabled, 1=Enabled"
64110,297,297,1,R/W,OutBack_AGS_2_Hour_Start_Voltage,uint16,Volts,OutBack_Voltage_SF,Programmable,Two Hour AGS Start Voltage
64110,298,298,1,R/W,OutBack_AGS_24_Hour_Start_Mode,uint16,Enumerated,N/A,Programmable,"0=Disabled, 1=Enabled"
64110,299,299,1,R/W,OutBack_AGS_24_Hour_Start_Voltage,uint16,Volts,OutBack_Voltage_SF,Programmable,Twenty Four Hour AGS Start Voltage
64110,300,300,1,R/W,OutBack_AGS_Load_Start_Mode,uint16,Enumerated,N/A,Programmable,"0=Disabled, 1=Enabled"
64110,301,301,1,R/W ,OutBack_AGS_Load_Start_kW,uint16,kWatts,N/A,Programmable,Load Start kWatts
64110,302,302,1,R/W,OutBack_AGS_Load_Start_Delay,uint16,Minutes,N/A,Programmable,Load Start Delay
64110,303,303,1,R/W,OutBack_AGS_Load_Stop_kW,uint16,kWatts,N/A,Programmable,Load Stop kWatts
64110,304,304,1,R/W,OutBack_AGS_Load_Stop_Delay,uint16,Minutes,N/A,Programmable,Load Stop Delay
64110,305,305,1,R/W,OutBack_AGS_SOC_Start_Mode,uint16,Enumerated,N/A,Programmable,"0=Disabled, 1=Enabled"
64110,306,306,1,R/W,OutBack_AGS_SOC_Start_Percentage,uint16,Percent,N/A,Programmable,AGS SOC Start Percentage
64110,307,307,1,R/W,OutBack_AGS_SOC_Stop_Percentage,uint16,Percent,N/A,Programmable,AGS SOC Stop Percentage
64110,308,308,1,R/W,OutBack_AGS_Enable_Full_Charge_Mode,uint16,Enumerated,N/A,Programmable,"0=Disabled, 1=Enabled"
64110,309,309,1,R/W,OutBack_AGS_Full_Charge_Interval,uint16,Days,N/A,Programmable,AGS SOC Full Charge Interval
64110,310,310,1,R/W,OutBack_AGS_Must_Run_Mode,uint16,Enumerated,N/A,Programmable,"0=Disabled, 1=Enabled"
64110,311,311,1,R/W,OutBack_AGS_Must_Run_Weekday_Start_Hour,uint16,Hour,N/A,Programmable,AGS Must Run Weekday Start Hour 0-23
64110,312,312,1,R/W,OutBack_AGS_Must_Run_Weekday_Start_Minute,uint16,Minute,N/A,Programmable,AGS Must Run Weekday Start Minute 0-59
64110,313,313,1,R/W,OutBack_AGS_Must_Run_Weekday_Stop_Hour,uint16,Hour,N/A,Programmable,AGS Must Run Weekday Stop Hour 0-23
64110,314,314,1,R/W,OutBack_AGS_Must_Run_Weekday_Stop_Minute,uint16,Minute,N/A,Programmable,AGS Must Run Weekday Stop Minute 0-59
64110,315,315,1,R/W,OutBack_AGS_Must_Run_Weekend_Start_Hour,uint16,Hour,N/A,Programmable,AGS Must Run Weekend Start Hour 0-23
64110,316,316,1,R/W,OutBack_AGS_Must_Run_Weekend_Start_Minute,uint16,Minute,N/A,Programmable,AGS Must Run Weekend Start Minute 0-59
64110,317,317,1,R/W,OutBack_AGS_Must_Run_Weekend_Stop_Hour,uint16,Hour,N/A,Programmable,AGS Must Run Weekend Stop Hour 0-23
64110,318,318,1,R/W,OutBack_AGS_Must_Run_Weekend_Stop_Minute,uint16,Minute,N/A,Programmable,AGS Must Run Weekend Stop Minute 0-59
64110,319,319,1,R/W,OutBack_AGS_Quiet_Time_Mode,uint16,Enumerated,N/A,Programmable,"0=Disabled, 1=Enabled"
64110,320,320,1,R/W,OutBack_AGS_Quiet_Time_Weekday_Start_Hour,uint16,Hour,N/A,Programmable,AGS Quiet Time Weekday Start Hour 0-23
64110,321,321,1,R/W,OutBack_AGS_Quiet_Time_Weekday_Start_Minute,uint16,Minute,N/A,Programmable,AGS Quiet Time Weekday Start Minute 0-59
64110,322,322,1,R/W,OutBack_AGS_Quiet_Time_Weekday_Stop_Hour,uint16,Hour,N/A,Programmable,AGS Quiet Time Weekday Stop Hour 0-23
64110,323,323,1,R/W,OutBack_AGS_Quiet_Time_Weekday_Stop_Minute,uint16,Minute,N/A,Programmable,AGS Quiet Time Weekday Stop Minute 0-59
64110,324,324,1,R/W,OutBack_AGS_Quiet_Time_Weekend_Start_Hour,uint16,Hour,N/A,Programmable,AGS Quiet Time Weekend Start Hour 0-23
64110,325,325,1,R/W,OutBack_AGS_Quiet_Time_Weekend_Start_Minute,uint16,Minute,N/A,Programmable,AGS Quiet Time Weekend Start Minute 0-59
64110,326,326,1,R/W,OutBack_AGS_Quiet_Time_Weekend_Stop_Hour,uint16,Hour,N/A,Programmable,AGS Quiet Time Weekend Stop Hour 0-23
64110,327,327,1,R/W,OutBack_AGS_Quiet_Time_Weekend_Stop_Minute,uint16,Minute,N/A,Programmable,AGS Quiet Time Weekend Stop Minute 0-59
64110,328,329,2,R/W,OutBack_AGS_Total_Generator_Run_Time,uint32,Hours,N/A,Programmable,AGS Generator Total Run Time in Seconds
64110,330,330,1,R/W ,OutBack_HBX_Mode,uint16,Enumerated,N/A,Programmable,"0=Disabled, 1=Voltage Only, 2=SOC Only, 3=Both"
64110,331,331,1,R/W,OutBack_HBX_Grid_Connect_Voltage,uint16,Volts,OutBack_Voltage_SF,Programmable,HBX Grid Connect Voltage
64110,332,332,1,R/W,OutBack_HBX_Grid_Connect_Delay,uint16,Hours,OutBack_Hour_SF,Programmable,HBX Grid Connect Delay
64110,333,333,1,R/W,OutBack_HBX_Grid_Disconnect_Voltage,uint16,Volts,OutBack_Voltage_SF,Programmable,HBX Grid Disconnect Voltage
64110,334,334,1,R/W,OutBack_HBX_Grid_Disconnect_Delay,uint16,Hours,OutBack_Hour_SF,Programmable,HBX Grid Disconnect Delay
64110,335,335,1,R/W,OutBack_HBX_Grid_Connect_SOC,uint16,Percent,N/A,Programmable,HBX Grid Connect SOC Percentage
64110,336,336,1,R/W,OutBack_HBX_Grid_Disconnect_SOC,uint16,Percent,N/A,Programmable,HBX Grid Disconnect SOC Percentage
64110,337,337,1,R/W,OutBack_Grid_Use_Interval_1_Mode,uint16,Enumerated,N/A,Programmable,"0=Disabled, 1=Enabled"
64110,338,338,1,R/W,OutBack_Grid_Use_Interval_1_Weekday_Start_Hour,uint16,Hour,N/A,Programmable,Grid Use Interval 1 Weekday Start Hour 0-23
64110,339,339,1,R/W,OutBack_Grid_Use_Interval_1_Weekday_Start_Minute,uint16,Hour,N/A,Programmable,Grid Use Interval 1 Weekday Start Minute 0-59
64110,340,340,1,R/W,OutBack_Grid_Use_Interval_1_Weekday_Stop_Hour,uint16,Hour,N/A,Programmable,Grid Use Interval 1 Weekday Stop Hour 0-23
64110,341,341,1,R/W,OutBack_Grid_Use_Interval_1_Weekday_Stop_Minute,uint16,Hour,N/A,Programmable,Grid Use Interval 1 Weekday Stop Minute 0-59
64110,342,342,1,R/W,OutBack_Grid_Use_Interval_1_Weekend_Start_Hour,uint16,Hour,N/A,Programmable,Grid Use Interval 1 Weekend Start Hour 0-23
64110,343,343,1,R/W,OutBack_Grid_Use_Interval_1_Weekend_Start_Minute,uint16,Hour,N/A,Programmable,Grid Use Interval 1 Weekend Start Minute 0-59
64110,344,344,1,R/W,OutBack_Grid_Use_Interval_1_Weekend_Stop_Hour,uint16,Hour,N/A,Programmable,Grid Use Interval 1 Weekend Stop Hour | 0-23
64110,345,345,1,R/W,OutBack_Grid_Use_Interval_1_Weekend_Stop_Minute,uint16,Hour,N/A,Programmable,Grid Use Interval 1 Weekend Stop Minute 0-59
64110,346,346,1,R/W,OutBack_Grid_Use_Interval_2_Mode,uint16,Enumerated,N/A,Programmable,"0=Disabled, 1=Enabled"
64110,347,347,1,R/W,OutBack_Grid_Use_Interval_2_Weekday_Start_Hour,uint16,Hour,N/A,Programmable,Grid Use Interval 2 Weekday Start Hour 0-23
64110,348,348,1,R/W,OutBack_Grid_Use_Interval_2_Weekday_Start_Minute,uint16,Hour,N/A,Programmable,Grid Use Interval 2 Weekday Start Minute 0-59
64110,349,349,1,R/W,OutBack_Grid_Use_Interval_2_Weekday_Stop_Hour,uint16,Hour,N/A,Programmable,Grid Use Interval 2 Weekday Stop Hour 0-23
64110,350,350,1,R/W,OutBack_Grid_Use_Interval_2_Weekday_Stop_Minute,uint16,Hour,N/A,Programmable,Grid Use Interval 2 Weekday Stop Minute 0-59
64110,351,351,1,R/W,OutBack_Grid_Use_Interval_3_Mode,uint16,Enumerated,N/A,Programmable,"0=Disabled, 1=Enabled"
64110,352,352,1,R/W,OutBack_Grid_Use_Interval_3_Weekday_Start_Hour,uint16,Hour,N/A,Programmable,Grid Use Interval 3 Weekday Start Hour 0-23
64110,353,353,1,R/W,OutBack_Grid_Use_Interval_3_Weekday_Start_Minute,uint16,Hour,N/A,Programmable,Grid Use Interval 3 Weekday Start Minute 0-59
64110,354,354,1,R/W,OutBack_Grid_Use_Interval_3_Weekday_Stop_Hour,uint16,Hour,N/A,Programmable,Grid Use Interval 3 Weekday Stop Hour 0-23
64110,355,355,1,R/W,OutBack_Grid_Use_Interval_3_Weekday_Stop_Minute,uint16,Hour,N/A,Programmable,Grid Use Interval 3 Weekday Stop Minute 0-59
64110,356,356,1,R/W,OutBack_Load_Grid_Transfer_Mode,uint16,Enumerated,N/A,Programmable,"0=Disabled, 1=Enabled"
64110,357,357,1,R/W,OutBack_Load_Grid_Transfer_Threshold,uint16,kWatts,OutBack_Voltage_SF,Programmable,Load Grid Transfer Threshold kW
64110,358,358,1,R/W,OutBack_Load_Grid_Transfer_Connect_Delay,uint16,Seconds,N/A,Programmable,Load Grid Transfer Connect Delay Seconds
64110,359,359,1,R/W,OutBack_Load_Grid_Transfer_Disconnect_Delay,uint16,Seconds,N/A,Programmable,Load Grid Transfer Disconnect Delay Seconds
64110,360,360,1,R/W,OutBack_Load_Grid_Transfer_Connect_Battery_Voltage,uint16,Volts,OutBack_Voltage_SF,Programmable,Load Grid Transfer Low Battery Connect Voltage
64110,361,361,1,R/W,OutBack_Load_Grid_Transfer_Re_Connect_Battery_Voltage,uint16,Volts,OutBack_Voltage_SF,Programmable,Load Grid Transfer Low Battery Re-Connect Voltage
64110,362,362,1,R/W,OutBack_Global_Charger_Control_Mode,uint16,Enumerated,N/A,Programmable,"0=Disabled, 1=Enabled"
64110,363,363,1,R/W,OutBack_Global_Charger_Control_Output_Limit,uint16,Amps,N/A,Programmable,Global Charger Output Limit Amps
64110,364,364,1,R/W,OutBack_Radian_AC_Coupled_Control_Mode,uint16,Enumerated,N/A,Programmable,"0=Disabled, 1=Enabled"
64110,365,365,1,R/W,OutBack_Radian_AC_Coupled_AUX_Port,uint16,Port,N/A,Programmable,Radian Inverter Port Number for AUX Control 0-10
64110,366,367,2,W,OutBack_URL_Update_Lock,uint32,key,N/A,Write Only,Unlock Key
64110,368,387,20,R/W,OutBack_Web_Reporting_Base_URL,string (40),N/A,N/A,Programmable,WEB Reporting Base URL
64110,388,388,1,R/W,OutBack_WEB_User_Logged_In_Status,uint16,Enumerated,N/A,Programmable,"0=WEB User NOT logged in, 1=WEB user logged in"
64110,389,389,1,R,OutBack_HUB_Type,uint16,Enumerated,N/A,Read Only,"0=Legacy HUB, 4= HUB4, 10=HUB10.3, 11=HUB3PH"
64110,390,390,1,R,OutBack_HUB_Major_Firmware_Number,uint16,N/A,N/A,Read Only,HUB Major firmware revision
64110,391,391,1,R,OutBack_HUB_Mid_Firmware_Number,uint16,N/A,N/A,Read Only,HUB Mid firmware revision
64110,392,392,1,R,OutBack_HUB_Minor_Firmware_Number,uint16,N/A,N/A,Read Only,HUB Minor firmware revision
64110,393,393,1,R/W,OutBack_Year,uint16,N/A,N/A,Programmable,Clock year (4 digit)
64110,394,394,1,R/W,Outback_Month,uint16,N/A,N/A,Programmable,Clock Month (1 - 12)
64110,395,395,1,R/W,OutBack_Day,uint16,N/A,N/A,Programmable,Clock Day (1 - 31)
64110,396,396,1,R/W,OutBack_Hour,uint16,N/A,N/A,Programmable,Clock Hour (0 - 23)
64110,397,397,1,R/W,Outback_Minute,uint16,N/A,N/A,Programmable,Clock Minute (0 - 59)
64110,398,398,1,R/W,OutBack_Second,uint16,N/A,N/A,Programmable,Clock Second (0 - 59)
64110,399,399,1,R,OutBack_Temp_Batt,int16,Degrees C,N/A,Measured,Battery temp in degrees C
64110,400,400,1,R,OutBack_Temp_Ambient,int16,Degrees C,N/A,Measured,"Ambient temp from temp sensor 
connected to device, in degrees C"
64110,401,401,1,R,OutBack_Temp_SF,int16,N/A,N/A,0,Temperature Scale Factor
64110,402,402,1,R,OutBack_Error,uint16,Bitfield,N/A,Read Only,Bit field for errors. See Outback_Error Table
64110,403,403,1,R,OutBack_Status,uint16,Bitfield,N/A,Read Only,Bit field for status. See Outback_Status Table
64110,404,404,1,R/W,OutBack_Update_Device_Firmware_Port,uint16,Bitfield,N/A,Programmable,"Device Firmware update See 
Device_FW_Update"
64110,405,405,1,R,OutBack_Gateway_Type,uint16,Enumerated,N/A,Read Only,"1=AXS Port, 2= MATE3"
64110,406,406,1,R,OutBack_System_Voltage,uint16,Volts,N/A,Read Only,"12, 24, 26, 48 or 60 VDC"
64110,407,407,1,R,OutBack_Measured_System_Voltage,uint16,Volts,OutBack_Voltage_SF,Read Only,Current system battery voltage computed by gateway
64110,408,408,1,R/W,OutBack_AGS_AC_Reconnect_Delay,uint16,Minute,N/A,Programmable,AGS AC Reconnect Delay
64110,409,409,1,R/W,OutBack_Multi_Phase_Coordination,uint16,Enumerated,N/A,Programmable,"0=Disabled, 1=Enabled"
64110,410,410,1,R/W ,OutBack_Sched_1_AC_Mode,int16,Enumerated,N/A,Programmable,"Scheduled Input Mode: -1=Disable, 0=Generator, 1=Support, 2=Grid Tied, 3=UPS, 4=Backup, 5=Mini Grid, 6=Grid Zero"
64110,411,411,1,R/W,OutBack_Sched_1_AC_Mode_Hour,uint16,Hour,N/A,Programmable,Start Hour for AC Input Mode schedule 1
64110,412,412,1,R/W,OutBack_Sched_1_AC_Mode_Minute,uint16,Minute,N/A,Programmable,Start Minute for AC Input Mode schedule 1
64110,413,413,1,R/W,OutBack_Sched_2_AC_Mode,int16,Enumerated,N/A,Programmable,"Scheduled Input Mode: -1=Disable, 0=Generator, 1=Support, 2=Grid Tied, 3=UPS, 4=Backup, 5=Mini Grid, 6=Grid Zero"
64110,414,414,1,R/W,OutBack_Sched_2_AC_Mode_Hour,uint16,Hour,N/A,Programmable,Start Hour for AC Input Mode schedule 2
64110,415,415,1,R/W,OutBack_Sched_2_AC_Mode_Minute,uint16,Minute,N/A,Programmable,Start Minute for AC Input Mode schedule 2
64110,416,416,1,R/W,OutBack_Sched_3_AC_Mode,int16,Enumerated,N/A,Programmable,"Scheduled Input Mode: -1=Disable, 0=Generator, 1=Support, 2=Grid Tied, 3=UPS, 4=Backup, 5=Mini Grid, 6=Grid Zero"
64110,417,417,1,R/W,OutBack_Sched_3_AC_Mode_Hour,uint16,Hour,N/A,Programmable,Start Hour for AC Input Mode schedule 3
64110,418,418,1,R/W,OutBack_Sched_3_AC_Mode_Minute,uint16,Minute,N/A,Programmable,Start Minute for AC Input Mode schedule 3
64110,419,419,1,R/W,OutBack_Auto_reboot,uint16,Enumerated,N/A,Programmable,"OPTICS auto reboot every 24 hours 0=Disable, 1=24, 2=20, 3=16, 4=12, 5=8, 6=4 (hours)"
64110,420,420,1,R/W,OutBack_Spare_Reg_2,uint16,N/A,N/A,Programmable,Spare Register 2
64110,421,421,1,R/W,OutBack_Spare_Reg_3,uint16,N/A,N/A,Programmable,Spare Register 3
64110,422,422,1,R/W,OutBack_Spare_Reg_4,uint16,N/A,N/A,Programmable,Spare Register 4
